InvoiceNo,CustomerID,order_date,Country
536365,17850,2010-12-01,United Kingdom
536366,17850,2010-12-01,United Kingdom
536367,13047,2010-12-01,United Kingdom
536368,13047,2010-12-01,United Kingdom
536369,13047,2010-12-01,United Kingdom
536370,12583,2010-12-01,France
536371,13748,2010-12-01,United Kingdom
536372,17850,2010-12-01,United Kingdom
536373,17850,2010-12-01,United Kingdom
536374,15100,2010-12-01,United Kingdom
536375,17850,2010-12-01,United Kingdom
536376,15291,2010-12-01,United Kingdom
536377,17850,2010-12-01,United Kingdom
536378,14688,2010-12-01,United Kingdom
536380,17809,2010-12-01,United Kingdom
536381,15311,2010-12-01,United Kingdom
536382,16098,2010-12-01,United Kingdom
536384,18074,2010-12-01,United Kingdom
536385,17420,2010-12-01,United Kingdom
536386,16029,2010-12-01,United Kingdom
536387,16029,2010-12-01,United Kingdom
536388,16250,2010-12-01,United Kingdom
536389,12431,2010-12-01,Australia
536390,17511,2010-12-01,United Kingdom
536392,13705,2010-12-01,United Kingdom
536393,13747,2010-12-01,United Kingdom
536394,13408,2010-12-01,United Kingdom
536395,13767,2010-12-01,United Kingdom
536396,17850,2010-12-01,United Kingdom
536397,17924,2010-12-01,United Kingdom
536398,13448,2010-12-01,United Kingdom
536399,17850,2010-12-01,United Kingdom
536400,13448,2010-12-01,United Kingdom
536401,15862,2010-12-01,United Kingdom
536402,15513,2010-12-01,United Kingdom
536403,12791,2010-12-01,Netherlands
536404,16218,2010-12-01,United Kingdom
536405,14045,2010-12-01,United Kingdom
536406,17850,2010-12-01,United Kingdom
536407,17850,2010-12-01,United Kingdom
536408,14307,2010-12-01,United Kingdom
536409,17908,2010-12-01,United Kingdom
536412,17920,2010-12-01,United Kingdom
536415,12838,2010-12-01,United Kingdom
536416,13255,2010-12-01,United Kingdom
536420,16583,2010-12-01,United Kingdom
536423,18085,2010-12-01,United Kingdom
536425,13758,2010-12-01,United Kingdom
536437,13694,2010-12-01,United Kingdom
536446,15983,2010-12-01,United Kingdom
536460,14849,2010-12-01,United Kingdom
536463,14849,2010-12-01,United Kingdom
536464,17968,2010-12-01,United Kingdom
536466,14849,2010-12-01,United Kingdom
536477,16210,2010-12-01,United Kingdom
536488,17897,2010-12-01,United Kingdom
536500,17377,2010-12-01,United Kingdom
536502,16552,2010-12-01,United Kingdom
536508,17181,2010-12-01,United Kingdom
536514,17951,2010-12-01,United Kingdom
536520,14729,2010-12-01,United Kingdom
536521,12748,2010-12-01,United Kingdom
536522,15012,2010-12-01,United Kingdom
536523,12868,2010-12-01,United Kingdom
536524,17572,2010-12-01,United Kingdom
536525,14078,2010-12-01,United Kingdom
536526,14001,2010-12-01,United Kingdom
536527,12662,2010-12-01,Germany
536528,15525,2010-12-01,United Kingdom
536529,14237,2010-12-01,United Kingdom
536530,17905,2010-12-01,United Kingdom
536531,15485,2010-12-01,United Kingdom
536532,12433,2010-12-01,Norway
536533,16955,2010-12-01,United Kingdom
536534,15350,2010-12-01,United Kingdom
536535,15605,2010-12-01,United Kingdom
536536,18144,2010-12-01,United Kingdom
536537,15922,2010-12-01,United Kingdom
536538,14594,2010-12-01,United Kingdom
536539,15165,2010-12-01,United Kingdom
536540,14911,2010-12-01,EIRE
536541,14911,2010-12-01,EIRE
536542,16456,2010-12-01,United Kingdom
536551,17346,2010-12-01,United Kingdom
536556,17643,2010-12-01,United Kingdom
536557,17841,2010-12-01,United Kingdom
536559,17873,2010-12-01,United Kingdom
536560,13093,2010-12-01,United Kingdom
536561,12921,2010-12-01,United Kingdom
